1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.800000000000000000e+03,8.082000000000000000e+03,1.119000000000000000e+03,9.585000000000000000e+03,5.515000000000000000e+03,6.649000000000000000e+03,6.987000000000000000e+03,9.502000000000000000e+03,6.386000000000000000e+03,6.700000000000000000e+01,8.631000000000000000e+03,5.898000000000000000e+03,3.243000000000000000e+03,8.709000000000000000e+03,7.372000000000000000e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
7.372000000000000000e+03,2.800000000000000000e+03,8.082000000000000000e+03,1.119000000000000000e+03,9.585000000000000000e+03,5.515000000000000000e+03,6.649000000000000000e+03,6.987000000000000000e+03,9.502000000000000000e+03,6.386000000000000000e+03,6.700000000000000000e+01,8.631000000000000000e+03,5.898000000000000000e+03,3.243000000000000000e+03,8.709000000000000000e+03
1.000000000000000000e+00,4.000000000000000000e+00,1.600000000000000000e+01,6.400000000000000000e+01,2.560000000000000000e+02,1.024000000000000000e+03,4.096000000000000000e+03,1.638400000000000000e+04,6.553600000000000000e+04,2.621440000000000000e+05,1.048576000000000000e+06,4.194304000000000000e+06,1.677721600000000000e+07,6.710886400000000000e+07,2.684354560000000000e+08
8.709000000000000000e+03,7.372000000000000000e+03,2.800000000000000000e+03,8.082000000000000000e+03,1.119000000000000000e+03,9.585000000000000000e+03,5.515000000000000000e+03,6.649000000000000000e+03,6.987000000000000000e+03,9.502000000000000000e+03,6.386000000000000000e+03,6.700000000000000000e+01,8.631000000000000000e+03,5.898000000000000000e+03,3.243000000000000000e+03
1.000000000000000000e+00,6.000000000000000000e+00,3.600000000000000000e+01,2.160000000000000000e+02,1.296000000000000000e+03,7.776000000000000000e+03,4.665600000000000000e+04,2.799360000000000000e+05,1.679616000000000000e+06,1.007769600000000000e+07,6.046617600000000000e+07,3.627970560000000000e+08,2.176782336000000000e+09,1.306069401600000000e+10,7.836416409600000000e+10
3.243000000000000000e+03,8.709000000000000000e+03,7.372000000000000000e+03,2.800000000000000000e+03,8.082000000000000000e+03,1.119000000000000000e+03,9.585000000000000000e+03,5.515000000000000000e+03,6.649000000000000000e+03,6.987000000000000000e+03,9.502000000000000000e+03,6.386000000000000000e+03,6.700000000000000000e+01,8.631000000000000000e+03,5.898000000000000000e+03
1.000000000000000000e+00,4.000000000000000000e+00,1.600000000000000000e+01,6.400000000000000000e+01,2.560000000000000000e+02,1.024000000000000000e+03,4.096000000000000000e+03,1.638400000000000000e+04,6.553600000000000000e+04,2.621440000000000000e+05,1.048576000000000000e+06,4.194304000000000000e+06,1.677721600000000000e+07,6.710886400000000000e+07,2.684354560000000000e+08
5.898000000000000000e+03,3.243000000000000000e+03,8.709000000000000000e+03,7.372000000000000000e+03,2.800000000000000000e+03,8.082000000000000000e+03,1.119000000000000000e+03,9.585000000000000000e+03,5.515000000000000000e+03,6.649000000000000000e+03,6.987000000000000000e+03,9.502000000000000000e+03,6.386000000000000000e+03,6.700000000000000000e+01,8.631000000000000000e+03
